scorer,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000
bodyparts,BeamLeft,BeamLeft,BeamLeft,BeamMiddle,BeamMiddle,BeamMiddle,BeamRight,BeamRight,BeamRight
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,475.82781982421875,35.673622131347656,0.002799410605803132,473.60015869140625,33.668006896972656,0.001410026685334742,469.1191711425781,36.3381462097168,0.012479318305850029
1,475.648193359375,34.881526947021484,0.003148309886455536,472.3403625488281,33.370140075683594,0.001526875770650804,468.95050048828125,35.601844787597656,0.014124126173555851
2,475.41192626953125,35.689517974853516,0.003114701947197318,474.3409729003906,34.05613708496094,0.0015663056401535869,468.9523010253906,36.49086380004883,0.013952855952084064
3,475.9864501953125,36.12051773071289,0.0019771652296185493,473.2974853515625,34.053688049316406,0.0012371242046356201,469.8160400390625,36.95518112182617,0.010418137535452843
4,475.4716491699219,35.38722229003906,0.0029003226663917303,473.8314208984375,33.9779052734375,0.0017647333443164825,469.4795837402344,36.34622573852539,0.013156568631529808
5,475.91973876953125,35.381004333496094,0.0023316049482673407,472.9269104003906,33.46592712402344,0.001387480995617807,469.7074890136719,36.23085021972656,0.012626982294023037
6,476.1916809082031,35.14223098754883,0.002830732148140669,1136.0076904296875,90.04608154296875,0.0012954527046531439,469.8448181152344,36.09818649291992,0.01250926312059164
7,476.0899658203125,35.707740783691406,0.0022428359370678663,1135.60498046875,90.124755859375,0.0015538593288511038,469.579833984375,36.45564651489258,0.01090688444674015
8,475.9869689941406,35.85040283203125,0.002475108252838254,472.20880126953125,33.63867950439453,0.0013235354563221335,470.49249267578125,36.52363967895508,0.011088336817920208
9,475.8005065917969,35.8198127746582,0.002857264829799533,473.13970947265625,33.403202056884766,0.0016112799057736993,470.39141845703125,36.81257247924805,0.012803229503333569
10,475.4378356933594,35.10614776611328,0.0037463956978172064,473.1846008300781,33.54009246826172,0.002267718082293868,469.1534423828125,35.88671875,0.019025631248950958
11,475.7792053222656,35.44263458251953,0.003318408504128456,473.33538818359375,33.83694839477539,0.0016274453373625875,469.2743835449219,36.286376953125,0.0138666657730937
12,476.1348571777344,35.43521499633789,0.003192292060703039,472.7247619628906,33.54515838623047,0.0018025417812168598,469.8254699707031,36.293540954589844,0.01332418154925108
13,475.5529479980469,35.317081451416016,0.003548612352460623,473.5437927246094,33.83775329589844,0.0021273952443152666,468.86444091796875,36.07377624511719,0.012665867805480957
14,475.85638427734375,35.59026336669922,0.002435690723359585,473.48358154296875,33.67977523803711,0.0014023174298927188,469.6153869628906,36.613712310791016,0.01111125573515892
15,476.2620849609375,35.84375,0.0019937341567128897,471.8927001953125,33.8491325378418,0.0014131017960608006,469.86376953125,36.336769104003906,0.008531304076313972
16,475.66473388671875,35.33419418334961,0.003960589878261089,472.88983154296875,33.69621658325195,0.0017728405073285103,469.8963623046875,36.19802474975586,0.017086414620280266
17,476.08367919921875,35.2006721496582,0.002858138410374522,472.9521484375,33.47300720214844,0.0014746575616300106,469.48516845703125,36.05418014526367,0.013039279729127884
18,475.8838195800781,35.72042465209961,0.0019883429631590843,1135.87646484375,90.05309295654297,0.0016379428561776876,468.8697509765625,36.64820861816406,0.00982733629643917
19,476.1885986328125,35.623008728027344,0.0021827141754329205,1136.0084228515625,89.76312255859375,0.0013321303995326161,470.21917724609375,36.597198486328125,0.011326112784445286
20,475.8168640136719,35.53102493286133,0.002488730475306511,1135.8555908203125,89.6452407836914,0.0013252589851617813,469.1761169433594,36.43074035644531,0.012560464441776276
21,475.63165283203125,35.54517364501953,0.0023351882118731737,473.0927429199219,33.64786911010742,0.0012573261046782136,469.0674743652344,36.38621139526367,0.01132379099726677
22,476.33526611328125,36.01866912841797,0.0021323896944522858,472.5733337402344,33.749473571777344,0.001236025127582252,470.2552795410156,36.869659423828125,0.009804450906813145
23,475.3454895019531,35.31036376953125,0.003091513877734542,473.11492919921875,33.5645637512207,0.0018727248534560204,469.3904724121094,36.029144287109375,0.015722796320915222
24,476.3619079589844,35.80301284790039,0.002166454680263996,472.83062744140625,33.737396240234375,0.0012137617450207472,470.0544738769531,36.682861328125,0.009489383548498154
25,475.69049072265625,35.08287048339844,0.0033989599905908108,472.92901611328125,33.43101119995117,0.001600312883965671,469.8080749511719,36.1069450378418,0.01575150340795517
26,476.19012451171875,35.8565673828125,0.0021411830093711615,1135.95166015625,89.81938934326172,0.0012756207725033164,470.048095703125,36.44916534423828,0.008969150483608246
27,475.9366455078125,35.3993034362793,0.0026679590810090303,473.1091003417969,33.73142623901367,0.0013803100446239114,469.4754638671875,36.27015686035156,0.01272228267043829
28,475.802490234375,35.8229866027832,0.0022992745507508516,473.0267333984375,33.40022277832031,0.001221989979967475,469.45989990234375,36.59297180175781,0.010530209168791771
29,475.763916015625,35.26197052001953,0.0026362386997789145,473.400146484375,33.68307876586914,0.0015593324787914753,469.1041564941406,36.23751449584961,0.012374019250273705
30,475.65185546875,35.638648986816406,0.0026176522951573133,473.4803771972656,34.0864372253418,0.0015111701795831323,469.0726318359375,36.49360275268555,0.011903956532478333
31,475.7946472167969,35.41893768310547,0.0032502906396985054,473.3818359375,33.32197189331055,0.001633045612834394,469.70635986328125,36.39342498779297,0.015286000445485115
32,475.72906494140625,35.272090911865234,0.0029852748848497868,473.177490234375,33.53970718383789,0.0013772459933534265,469.28656005859375,36.04974365234375,0.012348707765340805
33,475.8835144042969,35.87855911254883,0.0020841890946030617,472.7864685058594,33.933815002441406,0.0013212808407843113,469.2375793457031,36.80073165893555,0.011616124771535397
34,476.0628356933594,35.28333282470703,0.002302467357367277,473.24078369140625,33.40549850463867,0.0012046626070514321,469.61309814453125,36.21821212768555,0.011715883389115334
35,475.7045593261719,35.328651428222656,0.0030288484413176775,472.74505615234375,33.599212646484375,0.0016145564150065184,469.4523010253906,36.33034133911133,0.016148312017321587
